@RELATION reviews-de

@ATTRIBUTE hasPicture                 NUMERIC
@ATTRIBUTE hasVideo                   NUMERIC
@ATTRIBUTE isPurchaseVerified         NUMERIC
@ATTRIBUTE length                     NUMERIC
@ATTRIBUTE rating                     NUMERIC
@ATTRIBUTE sentimentAnalysis          NUMERIC
@ATTRIBUTE sentimentRatingOffset      NUMERIC
@ATTRIBUTE averageProductRating       NUMERIC
@ATTRIBUTE productRatingOffset        NUMERIC
@ATTRIBUTE consecutiveCaps            NUMERIC
@ATTRIBUTE consCapsTextRatio          NUMERIC
@ATTRIBUTE distinctWordRatio          NUMERIC
@ATTRIBUTE averageWordLength          NUMERIC
@ATTRIBUTE numberOfLineBreaks         NUMERIC
@ATTRIBUTE numberOfQuestionMarks      NUMERIC
@ATTRIBUTE numberOfExclMarks          NUMERIC
@ATTRIBUTE lineBreakTextRatio         NUMERIC
@ATTRIBUTE punctuationLetterRatio     NUMERIC
@ATTRIBUTE nlpExpert	NUMERIC
@ATTRIBUTE nlpWaitingForMrPerfect	NUMERIC
@ATTRIBUTE nlpNoDemands	NUMERIC
@ATTRIBUTE nlpBeatingAroundTheBush	NUMERIC
@ATTRIBUTE nlpRager	NUMERIC
@ATTRIBUTE nlpEuphoric	NUMERIC
@ATTRIBUTE nlpComplainer	NUMERIC
@ATTRIBUTE persona                {Expert,WaitingForMrPerfect,NoDemands,BeatingAroundTheBush,Rager,Euphoric,Complainer}

@DATA
0,0,1,426,5,5,5,?,?,0,0.0,0.8732394366197183,5.830985915492958,4,0,0,0.056338028169014086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoDemands
0,0,1,585,2,5,8,?,?,0,0.0,0.8681318681318682,6.395604395604396,1,1,0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
1,0,1,1055,4,5,6,?,?,0,0.0,0.7290322580645161,6.496774193548387,16,0,0,0.1032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,4546,4,5,6,?,?,0,0.0,0.5342066957787481,6.477438136826783,32,0,0,0.046579330422125184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,435,3,4,6,?,?,0,0.0,0.9375,6.796875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,0,378,1,1,5,?,?,0,0.0,0.828125,5.90625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
1,0,1,1592,1,5,9,?,?,1,6.353240152477764E-4,0.7207207207207207,7.09009009009009,6,0,3,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,337,1,1,5,?,?,0,0.0,0.9512195121951219,8.146341463414634,1,0,0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
1,0,1,929,3,2,4,?,?,1,0.001076426264800861,0.7769784172661871,6.683453237410072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,721,3,5,7,?,?,4,0.005594405594405594,0.8037383177570093,6.682242990654205,2,1,0,0.018691588785046728,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
